Country;Minimum wage per hour in US$;Minimum wage per hour in €;Data source;Year;Notes
Poland;5,22;4,83333333333333;https://en.wikipedia.org/wiki/List_of_countries_by_minimum_wage;2023;
Portugal;4,78;4,42592592592593;https://en.wikipedia.org/wiki/List_of_countries_by_minimum_wage;2023;
Romania;4,16;3,85185185185185;https://en.wikipedia.org/wiki/List_of_countries_by_minimum_wage;2023;
Russian Federation;1,27;1,17592592592593;https://en.wikipedia.org/wiki/List_of_countries_by_minimum_wage;2023;
Saudi Arabia;6,14;5,68518518518519;https://wagecentre.com/work/work-in-middle-east/salary-in-saudi-arabia;2023;calculated manually based on monthly minumum wage
Serbia;1,74;1,61111111111111;https://en.wikipedia.org/wiki/List_of_countries_by_minimum_wage;2022;
Singapore;4,96;4,59259259259259;https://en.wikipedia.org/wiki/List_of_countries_by_minimum_wage;2019;no law in Norway mandates minimum wage. calculated manually based on monthly minumum wage of cleaners 
Slovakia;4,77;4,41666666666667;https://en.wikipedia.org/wiki/List_of_countries_by_minimum_wage;2023;
Slovenia;8,21;7,60185185185185;https://en.wikipedia.org/wiki/List_of_countries_by_minimum_wage;2023;
South Africa;1,57;1,4537037037037;https://en.wikipedia.org/wiki/List_of_countries_by_minimum_wage;2022;
Spain;8,39;7,76851851851852;https://en.wikipedia.org/wiki/List_of_countries_by_minimum_wage;2023;
Sweden;17,11;15,8425925925926;https://take-profit.org/en/statistics/wages/sweden/#:~:text=What%20is%20average%20wage%20in,minimum%20was%20134%20SEK%2FHour.;2023;
Switzerland;21,43;19,8425925925926;https://www.deel.com/blog/minimum-wage-by-country;2023;Switzerland doesn’t have a statutory minimum wage: collective agreements determine minimum compensation. The amounts range between cantons (states), with an average minimum wage of around $21.43 (20 Swiss Francs) per hour. 
Taiwan;5,76;5,33333333333333;https://en.wikipedia.org/wiki/List_of_countries_by_minimum_wage;2023;
Thailand;1,5;1,38888888888889;https://en.wikipedia.org/wiki/List_of_countries_by_minimum_wage;2023;
Turkey;6,52;6,03703703703704;https://en.wikipedia.org/wiki/List_of_countries_by_minimum_wage;2023;
Ukraine;1,37;1,26851851851852;https://en.wikipedia.org/wiki/List_of_countries_by_minimum_wage;2021;
United Arab Emirates;2,87;2,65740740740741;https://www.timedoctor.com/blog/average-salary-in-dubai/#:~:text=The%20UAE%20Federal%20Labour%20Law,fixed%20base%20salary%20for%20employees.;2023;no law in United Arab Emirates mandates minimum wage. calculated manually based on monthly minumum wage of domestic workers
United Kingdom;14,27;13,212962962963;https://en.wikipedia.org/wiki/List_of_countries_by_minimum_wage;2023;
United States;7,25;6,71296296296296;https://en.wikipedia.org/wiki/List_of_countries_by_minimum_wage;2022;
Vietnam;0,76;0,703703703703704;https://en.wikipedia.org/wiki/List_of_countries_by_minimum_wage;2020;
